live_url,clicks_12m,impressions_12m,status,destination
/about-us/travel-help/,7,420,mapped,/locations/chandler/
/blog/does-age-impact-addiction-and-recovery/,7,416,BLOG — no home,
/blog/how-young-men-can-build-s…-esteem-following-alcohol-rehab/,7,958,BLOG — no home,
/blog/signs-you-may-be-nearing-a-fentanyl-overdose/,7,685,BLOG — no home,
/blog/why-connection-matters-so…an-intensive-outpatient-program/,7,222,BLOG — no home,
/locations/who-we-serve/out-of-state/florida-drug-rehab-centers/,7,2688,mapped,/locations/
/about-us/staff/jose-leon/,6,312,STAFF BIO — no home,
/blog/2024/09/,6,180,BLOG — no home,
/blog/distinguishing-between-self-care-and-aftercare/,6,534,BLOG — no home,
/blog/introducing-the-buena-vis…recovery-app-join-our-community/,6,322,BLOG — no home,
/blog/prescription-drug-withdrawal-symptoms/,6,5226,BLOG — no home,
/blog/the-emotional-impact-of-a-dui-conviction/,6,1011,BLOG — no home,
/insurance/in-network/,6,759,mapped,/insurance/
/about-us/staff/katie-noetzel/,5,163,STAFF BIO — no home,
/blog/balancing-work-while-in-addiction-recovery/,5,1710,BLOG — no home,
/blog/cognitive-behavioral-therapy-exercises/,5,1708,BLOG — no home,
/blog/creating-effective-boundaries-with-workplace-peers/,5,155,BLOG — no home,
/blog/from-the-grave-to-grace-the-burning-bush/,5,120,BLOG — no home,
/blog/how-do-i-adjust-to-life-after-dui-jail-time/,5,481,BLOG — no home,
/blog/how-to-prepare-for-a-dui-court-hearing/,5,417,BLOG — no home,
/blog/parents-with-addiction/,5,369,BLOG — no home,
/blog/what-are-the-differences-between-crack-and-cocaine/,5,2133,BLOG — no home,
/locations/who-we-serve/in-state/,5,805,mapped,/locations/
/our-programs/buena-vista-alumni-program/,5,129,NO HOME,
/our-programs/therapy/12-step-program/,5,2833,mapped,/therapies/
/our-programs/therapy/individual-counseling/,5,479,mapped,/therapies/
/who-we-help/professionals/impaired-physicians-program/,5,167,mapped,/referrals/
/about-us/staff/sara-cothern-lcsw/,4,95,STAFF BIO — no home,
/addiction-treatment/,4,6135,mapped,/programs/
/blog/,4,2453,mapped,/resources/
/blog/aerobic-exercise-and-addiction-recovery/,4,314,BLOG — no home,
/blog/creating-a-personalized-addiction-treatment-plan/,4,4840,BLOG — no home,
/blog/do-i-need-xanax-addiction-treatment/,4,4005,BLOG — no home,
/blog/how-antidepressants-can-help-you-recover-from-addiction/,4,669,BLOG — no home,
/blog/how-do-i-explain-dui-jail-time-to-my-family/,4,254,BLOG — no home,
/blog/intensive-outpatient-program/,4,271,BLOG — no home,
/blog/podcast-ep-2-meet-bobby-cording/,4,44,BLOG — no home,
/blog/sharing-inpatient-substan…tment-experience-with-your-wife/,4,405,BLOG — no home,
/blog/why-does-buena-vista-beli…gement-is-important-in-recovery/,4,1432,BLOG — no home,
/glossary/codeine/,4,1759,GLOSSARY — no home,
/glossary/oxycodone/,4,12779,GLOSSARY — no home,
/locations/who-we-serve/califor…stance-abuse-treatment-facility/,4,787,NO HOME,
/our-programs/medical-detox/drug-detox/opioid-drug-detox/,4,1656,mapped,/what-we-treat/opioid-addiction/
/our-programs/medical-detox/dru…detox/stimulant-drug-detox/meth/,4,2343,NO HOME,
/terms-of-use/,4,136,mapped,/
/tucson-facility/,4,1566,NO HOME,
/about-us/staff/luca-miller-bvr-alumni/,3,62,STAFF BIO — no home,
/blog/2024/10/,3,64,BLOG — no home,
/blog/alcohol-addiction-personality-traits/,3,755,BLOG — no home,
/blog/art-therapy-and-alcohol-addiction-how-does-it-work/,3,332,BLOG — no home,
/blog/can-learning-yoga-in-xana…n-recovery-improve-your-outcome/,3,730,BLOG — no home,
/blog/coping-skills-for-addiction/,3,796,BLOG — no home,
/blog/embracing-vulnerability-i…t-of-drug-and-alcohol-treatment/,3,599,BLOG — no home,
/blog/finding-hope-what-to-do-after-a-relapse/,3,442,BLOG — no home,
/blog/heroin-addiction/,3,34,BLOG — no home,
/blog/how-do-i-create-a-daily-r…an-intensive-outpatient-program/,3,262,BLOG — no home,
/blog/how-to-cultivate-self-con…ing-alcohol-detox-and-treatment/,3,313,BLOG — no home,
/blog/is-alcohol-use-among-men-more-common/,3,207,BLOG — no home,
/blog/overcoming-adverse-childhood-experiences-and-addiction/,3,437,BLOG — no home,
/blog/rehab-facts-vs-fiction/,3,171,BLOG — no home,
/blog/why-some-people-get-worse-after-rehab/,3,53,BLOG — no home,
/blog/your-guide-to-physical-addiction-and-how-to-get-help/,3,1312,BLOG — no home,
/insurance/out-of-network/presbyterian-insurance/,3,517,mapped,/insurance/
/locations/who-we-serve/out-of-state/,3,1054,mapped,/locations/
/our-programs/medical-detox/alcohol-detox/,3,2473,mapped,/what-we-treat/alcohol-addiction/
/our-programs/medical-detox/drug-detox/,3,3585,mapped,/medical-detox/
/our-programs/outpatient-treatment/,3,1262,mapped,/programs/intensive-outpatient-iop/
/site-map/,3,1280,mapped,/sitemap/
/blog/9-causes-of-alcohol-addic…ke-young-men-need-alcohol-rehab/,2,393,BLOG — no home,
/blog/alumni-program/,2,33,BLOG — no home,
/blog/attending-an-addiction-tr…-struggle-to-reach-out-for-help/,2,310,BLOG — no home,
/blog/buena-vista-recovery-prov…g-inspiration-hope-in-addiction/,2,144,BLOG — no home,
/blog/combating-seasonal-affect…disorder-for-relapse-prevention/,2,225,BLOG — no home,
/blog/drug-list-where-detox-is-needed-in-cases-of-addiction/,2,528,BLOG — no home,
/blog/dual-diagnosis-rehab/,2,524,BLOG — no home,
/blog/finding-the-courage-to-re…t-at-an-arizona-recovery-center/,2,14,BLOG — no home,
/blog/how-can-i-celebrate-success-in-sobriety/,2,116,BLOG — no home,
/blog/how-can-i-give-back-to-the-recovery-community/,2,51,BLOG — no home,
/blog/how-will-dui-jail-time-affect-my-recovery/,2,392,BLOG — no home,
/blog/individualized-care-impro…anagement-in-addiction-recovery/,2,168,BLOG — no home,
/blog/keeping-yourself-motivated-throughout-recovery/,2,68,BLOG — no home,
/blog/page/5/,2,144,BLOG — no home,
/blog/the-difference-between-slips-and-relapse-in-recovery/,2,398,BLOG — no home,
/blog/the-good-bad-and-ugly-wha…d-to-recovery-really-looks-like/,2,73,BLOG — no home,
/blog/the-role-of-community-in-relapse-prevention/,2,310,BLOG — no home,
/insurance/insurance-verification/,2,440,mapped,/insurance/verify-your-benefits/
/insurance/magellan-complete-care/,2,201,mapped,/insurance/ahcccs-medicaid/
/insurance/unitedhealthcare-insurance/,2,857,mapped,/insurance/
/locations/who-we-serve/illinois-rehab-centers/,2,1385,mapped,/locations/
/locations/who-we-serve/nevada-substance-abuse-treatment/,2,1702,mapped,/locations/
/our-programs/inpatient/,2,1121,mapped,/residential-treatment/
/privacy-policy/,2,146,mapped,/
/the-2-different-types-of-addiction-with-examples/,2,137,NO HOME,
/blog/2023/08/,1,23,BLOG — no home,
/blog/anxiety-medications-and-a…n-when-treatment-makes-it-worse/,1,126,BLOG — no home,
/blog/blog-substance-use-disorders-and-domestic-violence/,1,433,BLOG — no home,
/blog/buena-vista-playbook-what…he-benefits-of-anger-management/,1,63,BLOG — no home,
/blog/buena-vista-playbook-what-do-sober-people-do-for-fun/,1,702,BLOG — no home,
/blog/building-healthier-habits-at-buena-vista-recovery/,1,154,BLOG — no home,
/blog/co-occurring-disorders-and-substance-abuse/,1,45,BLOG — no home,
/blog/do-parents-know-the-signs-of-opioid-addiction/,1,61,BLOG — no home,
/blog/dos-and-donts-to-follow-w…ne-is-struggling-with-addiction/,1,26,BLOG — no home,
/blog/dual-diagnosis-treatment-arizona/,1,930,BLOG — no home,
/blog/fentanyl-addiction-signs/,1,109,BLOG — no home,
/blog/grief-therapy-for-addiction/,1,121,BLOG — no home,
/blog/heroin-withdrawal-timeline/,1,194,BLOG — no home,
/blog/how-can-i-find-purpose-af…tient-substance-abuse-treatment/,1,17,BLOG — no home,
/blog/how-do-i-create-a-relapse-prevention-plan-in-recovery/,1,1490,BLOG — no home,
/blog/how-do-i-set-boundaries-w…-friends-after-opioid-treatment/,1,74,BLOG — no home,
/blog/how-do-mental-health-disorders-inform-addiction/,1,1,BLOG — no home,
/blog/how-does-pain-management-in-addiction-recovery-work/,1,263,BLOG — no home,
/blog/how-long-does-alcohol-withdrawal-last/,1,79,BLOG — no home,
/blog/how-long-does-xanax-stay-in-your-system/,1,387,BLOG — no home,
/blog/how-to-build-a-positive-s…e-network-in-addiction-recovery/,1,174,BLOG — no home,
/blog/how-to-decide-if-a-12-step-program-is-right-for-me/,1,39,BLOG — no home,
/blog/how-to-get-help-for-addic…o-start-and-what-you-need-to-do/,1,276,BLOG — no home,
/blog/how-to-prepare-before-ent…g-an-addiction-treatment-center/,1,32,BLOG — no home,
/blog/how-will-recovery-affect-my-job/,1,321,BLOG — no home,
/blog/identifying-different-types-of-addiction-in-young-adults/,1,21,BLOG — no home,
/blog/is-it-too-late-for-me-to-…-alcohol-detox-for-my-addiction/,1,87,BLOG — no home,
/blog/managing-boredom-in-recovery/,1,545,BLOG — no home,
/blog/meth-addiction-treatment-and-recovery-where-to-find-help/,1,1151,BLOG — no home,
/blog/mixing-stimulants-and-depressants-dangers-consequences-/,1,70,BLOG — no home,
/blog/myths-about-medication-assisted-treatment/,1,282,BLOG — no home,
/blog/page/2/,1,27,BLOG — no home,
/blog/partial-hospitalization-p…s-iop-understand-the-difference/,1,190,BLOG — no home,
/blog/recollecting-your-life-after-a-dui/,1,47,BLOG — no home,
/blog/residential-vs-intensive-…t-programs-whats-the-difference/,1,765,BLOG — no home,
/blog/returning-to-work-after-substance-abuse-treatment/,1,90,BLOG — no home,
/blog/signs-that-your-loved-one-might-have-an-addiction/,1,31,BLOG — no home,
/blog/suboxone-detox-treatment/,1,29,BLOG — no home,
/blog/substance-abuse-therapy/,1,22,BLOG — no home,
/blog/substance-abuse-treatment-for-medical-professionals/,1,167,BLOG — no home,
/blog/the-benefits-of-mindfulne…tion-during-addiction-treatment/,1,341,BLOG — no home,
/blog/the-biology-of-detox/,1,704,BLOG — no home,
/blog/the-impact-of-addiction-on-the-family/,1,5,BLOG — no home,
/blog/the-importance-of-individ…zed-therapy-after-dui-jail-time/,1,68,BLOG — no home,
/blog/the-story-of-jesus-g-gutierrez/,1,13,BLOG — no home,
/blog/understanding-the-need-for-medical-detox/,1,17,BLOG — no home,
/blog/what-happens-in-outpatient-rehab/,1,931,BLOG — no home,
/blog/what-is-the-biology-of-addiction/,1,529,BLOG — no home,
/blog/what-is-the-connection-be…a-self-medicating-and-addiction/,1,85,BLOG — no home,
/blog/which-prescription-drugs-can-lead-to-addiction/,1,21,BLOG — no home,
/blog/who-makes-the-most-effective-supports-in-recovery/,1,7,BLOG — no home,
/blog/why-do-addicts-relapse-even-if-things-are-good/,1,297,BLOG — no home,
/blog/why-is-fentanyl-so-dangerous-a-detailed-look/,1,479,BLOG — no home,
/blog/why-you-should-consider-going-out-of-state-for-rehab/,1,117,BLOG — no home,
/blog/will-a-fentanyl-overdose-…ge-my-thought-process-long-term/,1,9,BLOG — no home,
/blog/xanax-addiction-treatment…an-whats-the-best-option-for-me/,1,1346,BLOG — no home,
/glossary/,1,622,mapped,/resources/
/glossary/addiction/,1,8,GLOSSARY — no home,
/glossary/benzodiazepines/,1,2277,GLOSSARY — no home,
/glossary/cocaine/,1,43,GLOSSARY — no home,
/glossary/depression/,1,7,GLOSSARY — no home,
/glossary/dwi/,1,2975,GLOSSARY — no home,
/glossary/ecstasy-mdma/,1,1181,GLOSSARY — no home,
/glossary/hydrocodone-facts/,1,835,GLOSSARY — no home,
/glossary/ketamine/,1,910,GLOSSARY — no home,
/glossary/painkillers/,1,26,GLOSSARY — no home,
/glossary/suboxone/,1,10,GLOSSARY — no home,
/insurance/beacon-insurance/,1,938,mapped,/insurance/
/insurance/cigna-insurance-for-addiction-treatment/,1,1903,mapped,/insurance/
/insurance/first-health-network-insurance/,1,1325,mapped,/insurance/
/insurance/humana-insurance-for-drug-alcohol-rehab/,1,164,mapped,/insurance/
/insurance/in-network/usa-mco-insurance/,1,104,mapped,/insurance/ahcccs-medicaid/
/insurance/kaiser_permanente_insurance/,1,1071,NO HOME,
/insurance/out-of-network/tricare/,1,2000,mapped,/insurance/
/iop-treatment-arizona/,1,69,NO HOME,
/locations/who-we-serve/in-state/998-2/,1,1764,mapped,/locations/
/our-programs/medical-detox/dru…detox/opioid-drug-detox/vicodin/,1,2183,NO HOME,
